Player,Team,Tournament,Role,attRTG,defRTG,roleRTG
Timotino,100T,Vct 2026 Americas Kickoff,Duelist,82,84,83
HYUNMIN,KRX,Vct 2026 Pacific Stage 1,Duelist,85,81,83
ara,GX,Vct 2026 Emea Stage 2,Duelist,84,82,83
crazyguy,RRQ,Vct 2026 Pacific Stage 1,Controller,83,83,83
Rb,NS,Vct 2026 Pacific Stage 1,Controller,85,81,83
aspas,MIBR,Vct 2026 Americas Stage 2,Duelist,85,81,83
Autumn,GE,Vct 2026 Pacific Kickoff,Duelist,80,86,83
Ash,GEN,Vct 2026 Pacific Kickoff,Controller,84,82,83
Jackk,C9,Vct 2026 Americas Stage 2,Initiator,83,82,83
Coco,TEC,Vct 2026 China Stage 2,Controller,84,82,83
spike,LEV,Vct 2026 Americas Stage 1,Duelist,83,83,83
stax,T1,Vct 2026 Pacific Stage 1,Initiator,83,83,83
d4v41,PRX,Vct 2026 Pacific Stage 1,Sentinel,81,84,83
chloric,NAVI,Vct 2026 Emea Stage 2,Initiator,81,85,83
Ivy,NS,Vct 2026 Pacific Stage 2,Sentinel,83,82,83
Chronicle,VIT,Vct 2026 Emea Stage 2,Sentinel,84,81,83
Jerrwin,SEN,Vct 2026 Americas Stage 2,Duelist,76,88,83
NINJA,PCF,Vct 2026 Emea Stage 2,Sentinel,80,85,83
nephh,BLG,Vct 2026 China Kickoff,Controller,86,80,83
Munchkin,T1,Vct 2026 Pacific Stage 2,Initiator,80,86,83
s0pp,FUT,Vct 2026 Emea Stage 1,Duelist,84,81,83
Derke,VIT,Valorant Masters London 2026,Duelist,82,84,82
johnqt,SEN,Vct 2026 Americas Stage 2,Controller,83,82,82
Shyy,FUR,Vct 2026 Americas Stage 2,Sentinel,82,83,82
yong,KRX,Vct 2026 Pacific Stage 1,Sentinel,81,85,82
Rosé,BBL,Vct 2026 Emea Stage 2,Initiator,79,85,82
iamgrq,AG,Vct 2026 China Stage 1,Controller,84,81,82
PatMen,GE,Vct 2026 Pacific Kickoff,Controller,82,83,82
DH,T1,Vct 2026 Pacific Stage 2,Controller,82,83,82
vora,100T,Vct 2026 Americas Stage 2,Initiator,81,83,82
Boaster,FNC,Vct 2026 Emea Kickoff,Controller,81,84,82
Xeppaa,C9,Vct 2026 Americas Kickoff,Initiator,82,83,82
Francis,NS,Vct 2026 Pacific Stage 2,Initiator,80,85,82
qpert,PCF,Vct 2026 Emea Stage 2,Controller,79,85,82
slowly,TYL,Vct 2026 China Stage 1,Controller,85,80,82
vora,100T,Vct 2026 Americas Stage 1,Initiator,81,83,82
yosemite,WOL,Vct 2026 China Stage 2,Sentinel,83,82,82
ZmjjKK,EDG,Vct 2026 China Stage 1,Duelist,87,77,82
brawk,NRG,Vct 2026 Americas Stage 2,Initiator,84,80,82
kaajak,FNC,Vct 2026 Emea Kickoff,Duelist,79,86,82
KovaQ,FPX,Vct 2026 China Stage 2,Controller,84,80,82
nobody,EDG,Vct 2026 China Stage 1,Initiator,85,80,82
BuZz,T1,Vct 2026 Pacific Kickoff,Duelist,82,82,82
Ethan,NRG,Vct 2026 Americas Stage 1,Initiator,81,83,82
xffero,RRQ,Vct 2026 Pacific Stage 2,Sentinel,77,86,82
something,PRX,Valorant Masters Santiago 2026,Duelist,80,84,82
jawgemo,G2,Vct 2026 Americas Stage 1,Duelist,79,85,82
iZu,T1,Vct 2026 Pacific Kickoff,Duelist,83,81,82
Veqaj,FNC,Vct 2026 Emea Kickoff,Initiator,81,83,82
jawgemo,G2,Valorant Masters Santiago 2026,Duelist,80,85,82
spike,LEV,Valorant Masters London 2026,Duelist,80,84,82
brawk,NRG,Vct 2026 Americas Stage 1,Initiator,80,84,82
oonzmlp,VL,Vct 2026 Pacific Stage 2,Sentinel,76,87,82
Efina,GEN,Vct 2026 Pacific Stage 2,Initiator,83,81,82
xavi8k,GE,Vct 2026 Pacific Stage 2,Controller,78,85,82
Derke,VIT,Vct 2026 Emea Stage 1,Duelist,81,82,82
waddle,PCF,Vct 2026 Emea Stage 2,Initiator,80,84,82
Dambi,NS,Vct 2026 Pacific Kickoff,Duelist,82,81,82
brawk,NRG,Vct 2026 Americas Kickoff,Initiator,80,84,82
artzin,FUR,Vct 2026 Americas Stage 2,Controller,80,84,82
mada,NRG,Valorant Masters Santiago 2026,Duelist,84,79,82
