Player,Team,Tournament,Role,attRTG,defRTG,roleRTG
brawk,NRG,Vct 2026 Americas Stage 1,Sentinel,70,72,71
silentzz,KRÜ,Vct 2026 Americas Stage 1,Sentinel,72,70,71
kellyS,TS,Vct 2026 Pacific Kickoff,Duelist,73,68,71
cortezia,SEN,Vct 2026 Americas Stage 1,Controller,69,73,71
nAts,TL,Valorant Masters Santiago 2026,Controller,71,71,71
d4v41,PRX,Vct 2026 Pacific Stage 2,Sentinel,70,72,71
sociablEE,NAVI,Vct 2026 Emea Kickoff,Initiator,69,73,71
free1ng,KRX,Vct 2026 Pacific Stage 2,Sentinel,70,72,71
Avez,KC,Vct 2026 Emea Kickoff,Initiator,72,70,71
Ivy,NS,Vct 2026 Pacific Stage 1,Controller,72,70,71
Zellsis,C9,Vct 2026 Americas Stage 1,Controller,73,69,71
Karon,GEN,Vct 2026 Pacific Kickoff,Controller,72,70,71
sScary,FPX,Vct 2026 China Kickoff,Controller,74,68,71
Abo,TE,Vct 2026 China Stage 1,Controller,74,68,71
NINJA,PCF,Vct 2026 Emea Kickoff,Initiator,72,70,71
oonzmlp,VL,Vct 2026 Pacific Kickoff,Controller,70,72,71
K1ra,AG,Vct 2026 China Kickoff,Controller,74,69,71
Caedye,DFM,Vct 2026 Pacific Kickoff,Controller,71,71,71
tex,MIBR,Vct 2026 Americas Stage 1,Sentinel,71,71,71
Favian,EF,Vct 2026 Emea Stage 2,Sentinel,69,73,71
trent,G2,Valorant Masters London 2026,Initiator,72,70,71
Haodong,TEC,Vct 2026 China Stage 1,Sentinel,70,72,71
benjyfishy,TH,Vct 2026 Emea Stage 1,Controller,71,71,71
Flickless,GX,Vct 2026 Emea Kickoff,Initiator,72,70,71
Sayonara,VIT,Valorant Masters London 2026,Controller,70,71,71
dgzin,EG,Vct 2026 Americas Stage 2,Sentinel,70,75,71
SUYGETSU,KC,Vct 2026 Emea Kickoff,Sentinel,72,70,71
Ivy,NS,Valorant Masters Santiago 2026,Sentinel,73,69,71
Jerrwin,SEN,Vct 2026 Americas Stage 1,Duelist,68,73,71
Chronicle,VIT,Vct 2026 Emea Kickoff,Controller,69,73,71
Sayonara,VIT,Vct 2026 Emea Stage 1,Controller,72,69,71
qpert,PCF,Vct 2026 Emea Kickoff,Controller,69,72,71
keiko,NRG,Vct 2026 Americas Stage 1,Controller,70,71,71
Klaus,VL,Vct 2026 Pacific Kickoff,Sentinel,71,71,71
keiko,NRG,Vct 2026 Americas Stage 2,Duelist,73,69,71
KiTae,GEN,Vct 2026 Pacific Stage 1,Controller,69,72,71
seven,PCF,Vct 2026 Emea Kickoff,Initiator,70,72,71
Reduxx,SEN,Vct 2026 Americas Stage 1,Controller,71,70,71
JitBoyS,FS,Vct 2026 Pacific Kickoff,Controller,70,72,71
keznit,ENVY,Vct 2026 Americas Stage 1,Duelist,69,72,71
Akame,DFM,Vct 2026 Pacific Stage 1,Duelist,71,70,71
SiuFatBB,WOL,Vct 2026 China Stage 1,Initiator,72,69,71
Cryocells,100T,Vct 2026 Americas Kickoff,Controller,73,68,71
Veqaj,FNC,Vct 2026 Emea Stage 1,Controller,72,69,71
Setrod,FPX,Vct 2026 China Stage 2,Duelist,72,69,70
nAts,TL,Vct 2026 Emea Stage 2,Controller,72,69,70
Xlele,TE,Vct 2026 China Stage 1,Duelist,72,69,70
skuba,NRG,Valorant Masters London 2026,Sentinel,70,71,70
mada,NRG,Valorant Masters London 2026,Duelist,71,70,70
GuanG,NOVA,Vct 2026 China Stage 1,Sentinel,70,71,70
xffero,RRQ,Vct 2026 Pacific Kickoff,Sentinel,71,70,70
something,PRX,Valorant Masters London 2026,Controller,76,67,70
Flex1n,DRG,Valorant Masters London 2026,Controller,69,71,70
lovers rock,BBL,Valorant Masters Santiago 2026,Duelist,69,71,70
koalanoob,FUR,Vct 2026 Americas Stage 1,Duelist,69,72,70
d4v41,PRX,Vct 2026 Pacific Kickoff,Sentinel,73,68,70
seph1roth,FS,Vct 2026 Pacific Stage 2,Controller,71,69,70
Erv,TYL,Vct 2026 China Stage 2,Initiator,70,70,70
NoMan,XLG,Vct 2026 China Stage 1,Initiator,71,70,70
nerve,FUR,Valorant Masters Santiago 2026,Controller,71,69,70
iZu,T1,Vct 2026 Pacific Stage 1,Initiator,72,69,70
Rosé,BBL,Valorant Masters Santiago 2026,Initiator,70,70,70
Jinggg,PRX,Valorant Masters London 2026,Controller,71,70,70
Wo0t,TH,Vct 2026 Emea Kickoff,Duelist,71,69,70
Au1,AG,Vct 2026 China Kickoff,Controller,69,71,70
qiutiaN,WOL,Vct 2026 China Kickoff,Sentinel,73,68,70
bipo,M8,Valorant Masters Santiago 2026,Duelist,70,70,70
jkuro,JDG,Vct 2026 China Stage 2,Controller,73,66,70
brawk,NRG,Valorant Masters Santiago 2026,Sentinel,70,70,70
FengF,TE,Vct 2026 China Kickoff,Initiator,73,67,70
Au1,AG,Valorant Masters Santiago 2026,Controller,72,68,70
SyouTa,ZETA,Vct 2026 Pacific Stage 1,Controller,69,71,70
Sayonara,VIT,Vct 2026 Emea Stage 1,Initiator,69,71,70
KovaQ,FPX,Vct 2026 China Stage 1,Initiator,71,69,70
Knight,BLG,Vct 2026 China Stage 2,Initiator,74,66,70
Ash,GEN,Vct 2026 Pacific Stage 1,Duelist,66,74,70
kellyS,TS,Vct 2026 Pacific Stage 1,Initiator,70,70,70
yilai,BLG,Vct 2026 China Stage 1,Duelist,73,66,70
benjyfishy,TH,Valorant Masters London 2026,Sentinel,71,69,70
SUYGETSU,KC,Vct 2026 Emea Stage 2,Sentinel,71,69,70
vo0kashu,DRG,Vct 2026 China Stage 1,Controller,71,69,70
Jamppi,VIT,Vct 2026 Emea Stage 2,Initiator,69,72,70
Francis,NS,Vct 2026 Pacific Stage 1,Initiator,69,71,70
al0rante,PCF,Vct 2026 Emea Stage 1,Controller,70,70,70
KROSTALY,FUT,Vct 2026 Emea Kickoff,Initiator,70,69,70
qiutiaN,NOVA,Vct 2026 China Stage 1,Initiator,70,69,70
crazyguy,RRQ,Vct 2026 Pacific Stage 1,Initiator,70,70,70
xavi8k,GE,Valorant Masters London 2026,Sentinel,71,68,70
koalanoob,FUR,Vct 2026 Americas Stage 1,Controller,70,70,70
Less,KRÜ,Vct 2026 Americas Stage 1,Sentinel,69,70,70
K1ra,AG,Vct 2026 China Stage 2,Duelist,71,67,70
NoMan,XLG,Vct 2026 China Stage 1,Duelist,72,68,70
koalanoob,FUR,Vct 2026 Americas Kickoff,Controller,72,68,70
Jieni7,EDG,Valorant Masters London 2026,Sentinel,72,67,70
Xdll,ZETA,Vct 2026 Pacific Stage 1,Initiator,71,68,70
westside,GX,Vct 2026 Emea Stage 1,Duelist,69,70,70
Alfajer,FNC,Vct 2026 Emea Stage 1,Duelist,71,68,70
Monyet,RRQ,Vct 2026 Pacific Stage 1,Controller,70,69,70
purp0,TL,Valorant Masters Santiago 2026,Initiator,69,71,70
skuba,NRG,Valorant Masters Santiago 2026,Sentinel,69,70,70
FKEY,TE,Vct 2026 China Stage 2,Initiator,72,67,70
leaf,G2,Valorant Masters London 2026,Controller,70,69,69
Caedye,DFM,Vct 2026 Pacific Stage 2,Controller,67,72,69
K1ra,AG,Vct 2026 China Stage 1,Controller,71,68,69
N4RRATE,SEN,Vct 2026 Americas Kickoff,Duelist,69,70,69
Meteor,T1,Vct 2026 Pacific Kickoff,Sentinel,68,71,69
mada,NRG,Vct 2026 Americas Stage 1,Controller,68,70,69
Shr1mp,AG,Valorant Masters Santiago 2026,Initiator,72,68,69
cNed,PCF,Vct 2026 Emea Stage 1,Duelist,70,69,69
oonzmlp,VL,Vct 2026 Pacific Stage 2,Duelist,69,70,69
Okeanos,EG,Vct 2026 Americas Kickoff,Duelist,69,70,69
Lar0k,BBL,Vct 2026 Emea Stage 1,Duelist,67,71,69
nAts,TL,Vct 2026 Emea Stage 1,Controller,68,71,69
Reduxx,SEN,Vct 2026 Americas Stage 1,Duelist,71,67,69
Cloud,FNC,Vct 2026 Emea Stage 2,Controller,72,67,69
Jinggg,PRX,Vct 2026 Pacific Stage 2,Duelist,71,68,69
xavi8k,GE,Valorant Masters London 2026,Controller,70,69,69
Lysoar,XLG,Vct 2026 China Stage 2,Sentinel,69,70,69
Akame,DFM,Vct 2026 Pacific Stage 1,Initiator,70,69,69
d3mur,ULF,Vct 2026 Emea Kickoff,Duelist,70,69,69
Hermes,KRX,Vct 2026 Pacific Kickoff,Duelist,67,72,69
Zeus,TS,Vct 2026 Pacific Stage 1,Duelist,70,69,69
Flickless,GX,Vct 2026 Emea Kickoff,Controller,69,70,69
artzin,FUR,Valorant Masters Santiago 2026,Controller,71,67,69
benjyfishy,TH,Vct 2026 Emea Kickoff,Controller,68,70,69
AAAAY,FPX,Vct 2026 China Stage 1,Controller,70,69,69
xavi8k,GE,Vct 2026 Pacific Stage 1,Sentinel,71,67,69
rushia,BLG,Vct 2026 China Stage 2,Sentinel,69,70,69
f0rsakeN,PRX,Vct 2026 Pacific Stage 1,Duelist,68,70,69
Ethan,NRG,Valorant Masters Santiago 2026,Controller,69,69,69
Cryocells,100T,Vct 2026 Americas Stage 1,Controller,69,69,69
Less,KRÜ,Vct 2026 Americas Stage 2,Sentinel,68,70,69
Jieni7,EDG,Vct 2026 China Stage 1,Initiator,66,71,69
zhe,JDG,Vct 2026 China Kickoff,Duelist,73,66,69
Leviathan,FS,Vct 2026 Pacific Stage 1,Sentinel,71,67,69
xavi8k,GE,Vct 2026 Pacific Stage 2,Sentinel,70,68,69
Flickless,GX,Vct 2026 Emea Stage 1,Sentinel,69,69,69
N4RRATE,KC,Vct 2026 Emea Stage 2,Duelist,67,71,69
Rossy,ENVY,Vct 2026 Americas Stage 2,Sentinel,69,69,69
leaf,G2,Vct 2026 Americas Kickoff,Initiator,68,70,69
iZu,T1,Valorant Masters Santiago 2026,Duelist,67,71,69
Flickless,GX,Vct 2026 Emea Stage 1,Controller,69,69,69
Virtyy,LOUD,Vct 2026 Americas Kickoff,Duelist,66,73,69
Crewen,BBL,Vct 2026 Emea Stage 1,Sentinel,67,70,69
OBONE,NOVA,Vct 2026 China Kickoff,Controller,71,67,69
hiro,NAVI,Vct 2026 Emea Kickoff,Sentinel,68,70,69
Favian,EF,Vct 2026 Emea Stage 1,Initiator,72,66,69
brawk,NRG,Valorant Masters London 2026,Sentinel,65,72,69
eKo,ZETA,Vct 2026 Pacific Stage 2,Duelist,72,66,69
Knight,BLG,Vct 2026 China Stage 2,Sentinel,68,71,69
Ash,GEN,Vct 2026 Pacific Stage 1,Controller,69,68,69
glacier,WOL,Vct 2026 China Stage 1,Duelist,72,66,69
deLb,TE,Vct 2026 China Stage 2,Controller,69,68,69
Kr1stal,GE,Valorant Masters London 2026,Initiator,69,68,69
cortezia,SEN,Vct 2026 Americas Stage 1,Sentinel,67,70,69
rushia,BLG,Vct 2026 China Stage 1,Controller,71,67,69
free1ng,KRX,Vct 2026 Pacific Kickoff,Initiator,71,66,69
C0M,EG,Vct 2026 Americas Stage 1,Initiator,67,70,69
BABYBAY,G2,Valorant Masters Santiago 2026,Sentinel,70,68,69
jowa,WOL,Vct 2026 China Stage 1,Controller,69,68,69
Crws,FS,Valorant Masters London 2026,Controller,69,69,69
TenTen,TS,Vct 2026 Pacific Kickoff,Duelist,69,69,69
cb,NOVA,Vct 2026 China Stage 2,Duelist,68,69,69
zhe,JDG,Vct 2026 China Stage 2,Sentinel,70,68,69
free1ng,KRX,Vct 2026 Pacific Stage 1,Initiator,71,66,69
swagzor,NOVA,Vct 2026 China Stage 1,Duelist,70,67,69
skuba,NRG,Vct 2026 Americas Stage 1,Sentinel,67,70,69
Wo0t,TH,Vct 2026 Emea Stage 2,Sentinel,69,67,69
artzin,FUR,Vct 2026 Americas Stage 2,Initiator,70,67,69
jkuro,JDG,Vct 2026 China Stage 2,Duelist,70,67,69
Yuicaw,JDG,Vct 2026 China Stage 1,Duelist,71,67,69
Hermes,KRX,Vct 2026 Pacific Kickoff,Initiator,71,66,69
ZmjjKK,EDG,Valorant Masters Santiago 2026,Sentinel,67,70,69
Filu,NAVI,Vct 2026 Emea Stage 1,Sentinel,66,71,69
AAAAY,FPX,Vct 2026 China Stage 1,Sentinel,69,68,69
NagZ,KRÜ,Vct 2026 Americas Kickoff,Sentinel,69,67,68
Autumn,GE,Valorant Masters London 2026,Duelist,69,68,68
Darker,LOUD,Vct 2026 Americas Kickoff,Controller,67,70,68
f0rsakeN,PRX,Vct 2026 Pacific Stage 2,Duelist,69,68,68
DH,T1,Vct 2026 Pacific Stage 2,Sentinel,70,66,68
MrFaliN,FUT,Vct 2026 Emea Kickoff,Controller,69,67,68
Rarga,XLG,Vct 2026 China Stage 2,Sentinel,66,70,68
yosemite,WOL,Vct 2026 China Kickoff,Controller,68,68,68
OXY,C9,Vct 2026 Americas Kickoff,Duelist,66,70,68
Crewen,BBL,Vct 2026 Emea Stage 1,Controller,69,67,68
hiro,NAVI,Vct 2026 Emea Stage 1,Controller,66,70,68
Xlele,TE,Vct 2026 China Stage 1,Controller,69,67,68
eKo,ZETA,Vct 2026 Pacific Stage 1,Duelist,67,70,68
bao,EG,Vct 2026 Americas Kickoff,Controller,70,66,68
kamo,TL,Valorant Masters Santiago 2026,Duelist,67,69,68
PatMen,GE,Vct 2026 Pacific Kickoff,Initiator,69,67,68
f0rsakeN,PRX,Vct 2026 Pacific Kickoff,Duelist,69,67,68
keiko,NRG,Valorant Masters London 2026,Sentinel,67,70,68
bao,EG,Vct 2026 Americas Stage 1,Sentinel,68,69,68
Raxcal,GEN,Vct 2026 Pacific Stage 2,Duelist,73,65,68
Autumn,GE,Vct 2026 Pacific Stage 1,Duelist,67,69,68
hiro,NAVI,Vct 2026 Emea Stage 1,Sentinel,69,67,68
lukxo,LOUD,Vct 2026 Americas Stage 1,Sentinel,68,68,68
f4ngeer,AG,Vct 2026 China Stage 1,Sentinel,69,67,68
baha,FUT,Vct 2026 Emea Kickoff,Controller,65,71,68
brawk,NRG,Valorant Masters London 2026,Initiator,67,69,68
NagZ,KRÜ,Vct 2026 Americas Kickoff,Controller,68,68,68
yetujey,FUT,Valorant Masters London 2026,Controller,66,71,68
s0pp,FUT,Valorant Masters London 2026,Sentinel,65,71,68
Setrod,FPX,Vct 2026 China Stage 1,Duelist,70,66,68
slowly,TYL,Vct 2026 China Stage 2,Duelist,75,61,68
Hermes,KRX,Vct 2026 Pacific Kickoff,Controller,66,69,68
AAAAY,FPX,Vct 2026 China Kickoff,Sentinel,67,69,68
eKo,ZETA,Vct 2026 Pacific Stage 1,Initiator,69,67,68
bao,EG,Vct 2026 Americas Stage 2,Controller,70,65,68
K1ra,AG,Vct 2026 China Kickoff,Duelist,72,64,68
yatsuka,DFM,Vct 2026 Pacific Kickoff,Sentinel,67,69,68
MiniBoo,TL,Valorant Masters Santiago 2026,Duelist,69,67,68
Jinggg,PRX,Vct 2026 Pacific Stage 1,Controller,66,69,68
iamgrq,AG,Vct 2026 China Stage 2,Duelist,67,69,68
cb,NOVA,Vct 2026 China Stage 2,Sentinel,71,66,68
oonzmlp,VL,Vct 2026 Pacific Stage 1,Controller,68,68,68
Autumn,GE,Valorant Masters London 2026,Sentinel,71,65,68
Karon,GEN,Vct 2026 Pacific Stage 1,Duelist,65,70,68
johnqt,SEN,Vct 2026 Americas Kickoff,Initiator,67,68,68
qiutiaN,WOL,Vct 2026 China Kickoff,Controller,69,67,68
sturNN,ULF,Vct 2026 Emea Kickoff,Controller,68,68,68
rushia,BLG,Vct 2026 China Stage 2,Duelist,70,66,68
leaf,G2,Valorant Masters Santiago 2026,Duelist,70,65,68
Sayonara,VIT,Valorant Masters London 2026,Initiator,68,67,68
Boo,TH,Valorant Masters London 2026,Controller,69,66,68
Favian,ULF,Vct 2026 Emea Kickoff,Initiator,69,66,68
Nicc,DRG,Valorant Masters London 2026,Initiator,67,68,68
Ethan,NRG,Vct 2026 Americas Kickoff,Controller,66,69,68
f4ngeer,AG,Valorant Masters Santiago 2026,Duelist,67,68,68
Izzy,EF,Vct 2026 Emea Stage 2,Duelist,71,66,68
NoMan,XLG,Valorant Masters London 2026,Sentinel,69,66,68
hiro,NAVI,Vct 2026 Emea Kickoff,Controller,66,69,68
alym,FUR,Valorant Masters Santiago 2026,Duelist,67,68,68
deLb,TE,Vct 2026 China Kickoff,Duelist,72,64,68
CyvOph,FNC,Vct 2026 Emea Stage 1,Duelist,69,66,68
happywei,XLG,Valorant Masters Santiago 2026,Controller,66,69,68
Spear,EF,Vct 2026 Emea Stage 2,Duelist,68,67,68
tex,MIBR,Vct 2026 Americas Kickoff,Sentinel,66,69,68
Ivy,NS,Vct 2026 Pacific Kickoff,Sentinel,67,70,68
Darker,LOUD,Vct 2026 Americas Kickoff,Initiator,67,68,68
skye,TS,Vct 2026 Pacific Stage 2,Sentinel,72,62,68
keiko,NRG,Vct 2026 Americas Stage 2,Sentinel,71,65,68
Avez,KC,Vct 2026 Emea Stage 1,Initiator,69,66,67
something,PRX,Vct 2026 Pacific Stage 2,Controller,68,66,67
ra1ny,TEC,Vct 2026 China Stage 2,Duelist,70,65,67
yatsuka,DFM,Vct 2026 Pacific Stage 2,Sentinel,67,67,67
Inspire,ENVY,Vct 2026 Americas Kickoff,Sentinel,64,71,67
koshmaras,TH,Valorant Masters London 2026,Duelist,67,68,67
koalanoob,FUR,Valorant Masters Santiago 2026,Controller,66,69,67
Jackk,C9,Vct 2026 Americas Stage 1,Initiator,68,67,67
Ben1Ley,FPX,Vct 2026 China Stage 1,Duelist,70,65,67
spike,LEV,Vct 2026 Americas Kickoff,Initiator,66,70,67
FT,BLG,Vct 2026 China Stage 2,Controller,67,67,67
Klaus,VL,Vct 2026 Pacific Stage 1,Duelist,69,65,67
Youze,AG,Vct 2026 China Stage 1,Duelist,71,63,67
Ethan,NRG,Vct 2026 Americas Stage 1,Controller,66,69,67
Bati,LOUD,Vct 2026 Americas Stage 1,Initiator,69,66,67
Lysoar,XLG,Valorant Masters Santiago 2026,Controller,69,65,67
Sayonara,VIT,Valorant Masters London 2026,Duelist,66,69,67
keiko,NRG,Valorant Masters Santiago 2026,Duelist,68,66,67
Meteor,T1,Vct 2026 Pacific Kickoff,Duelist,70,65,67
seven,PCF,Vct 2026 Emea Stage 1,Duelist,67,67,67
heybay,NOVA,Vct 2026 China Kickoff,Initiator,69,65,67
sibeastw0w,KBG,Vct 2026 China Stage 2,Initiator,67,67,67
Spring,WOL,Vct 2026 China Kickoff,Duelist,69,66,67
Lysoar,XLG,Vct 2026 China Kickoff,Sentinel,65,69,67
Wo0t,TH,Vct 2026 Emea Kickoff,Initiator,69,66,67
cNed,PCF,Vct 2026 Emea Kickoff,Duelist,67,68,67
Yuicaw,JDG,Vct 2026 China Stage 1,Sentinel,66,68,67
JitBoyS,FS,Valorant Masters London 2026,Sentinel,68,67,67
CHICHOO,EDG,Vct 2026 China Stage 2,Controller,69,66,67
Jinggg,PRX,Vct 2026 Pacific Stage 1,Sentinel,69,65,67
t3xture,GEN,Vct 2026 Pacific Stage 1,Sentinel,68,66,67
Kr1stal,GE,Vct 2026 Pacific Stage 2,Sentinel,69,65,67
iamgrq,AG,Valorant Masters Santiago 2026,Controller,70,65,67
Demon1,ENVY,Vct 2026 Americas Stage 1,Duelist,67,67,67
ComeBack,NAVI,Vct 2026 Emea Stage 1,Sentinel,66,68,67
Alfajer,FNC,Vct 2026 Emea Stage 2,Duelist,65,68,67
SpiritZ1,DRG,Valorant Masters London 2026,Duelist,68,66,67
jawgemo,G2,Valorant Masters London 2026,Duelist,69,65,67
brawk,NRG,Vct 2026 Americas Stage 1,Controller,69,65,67
yatsuka,DFM,Vct 2026 Pacific Stage 1,Controller,69,63,67
CyvOph,NAVI,Vct 2026 Emea Stage 2,Initiator,67,66,67
iZu,T1,Vct 2026 Pacific Kickoff,Controller,66,68,67
f0rsakeN,PRX,Valorant Masters London 2026,Initiator,67,67,67
purp0,TL,Vct 2026 Emea Kickoff,Duelist,66,67,67
Kicks,TL,Vct 2026 Emea Kickoff,Controller,66,68,67
Flickless,GX,Vct 2026 Emea Stage 2,Duelist,65,69,67
artzin,FUR,Valorant Masters Santiago 2026,Sentinel,68,66,67
Minny,M8,Vct 2026 Emea Stage 1,Controller,67,66,67
Alfajer,FNC,Vct 2026 Emea Stage 1,Controller,65,69,67
f0rsakeN,PRX,Vct 2026 Pacific Kickoff,Sentinel,70,64,67
something,PRX,Vct 2026 Pacific Stage 2,Initiator,69,64,67
Spitfires,TEC,Vct 2026 China Stage 2,Duelist,67,66,67
SyouTa,ZETA,Vct 2026 Pacific Stage 1,Sentinel,69,64,67
free1ng,KRX,Vct 2026 Pacific Kickoff,Sentinel,67,66,67
Jamppi,VIT,Vct 2026 Emea Stage 2,Sentinel,66,67,67
RieNs,TH,Valorant Masters London 2026,Initiator,67,66,67
xavi8k,GE,Vct 2026 Pacific Stage 2,Initiator,64,68,67
deLb,TE,Vct 2026 China Stage 1,Sentinel,69,64,67
Layla,AT,Vct 2026 China Stage 2,Sentinel,69,63,67
Crws,FS,Vct 2026 Pacific Stage 2,Sentinel,70,63,67
Munchkin,T1,Vct 2026 Pacific Stage 2,Controller,63,70,66
Kushy,RRQ,Vct 2026 Pacific Stage 2,Duelist,67,66,66
GREEN,NOVA,Vct 2026 China Stage 1,Controller,67,66,66
Eggsterr,ENVY,Vct 2026 Americas Stage 1,Controller,68,65,66
bud,BLG,Vct 2026 China Kickoff,Sentinel,64,68,66
Jieni7,EDG,Vct 2026 China Stage 1,Sentinel,66,66,66
Minny,M8,Valorant Masters Santiago 2026,Controller,67,64,66
Klaus,VL,Vct 2026 Pacific Kickoff,Duelist,65,67,66
Avez,KC,Vct 2026 Emea Stage 1,Controller,65,68,66
Jieni7,EDG,Vct 2026 China Stage 1,Duelist,68,65,66
BerserX,TS,Vct 2026 Pacific Stage 1,Controller,66,66,66
NoMan,XLG,Vct 2026 China Stage 2,Duelist,69,63,66
al0rante,PCF,Vct 2026 Emea Stage 2,Sentinel,66,66,66
skuba,NRG,Vct 2026 Americas Kickoff,Sentinel,64,68,66
Spear,EF,Vct 2026 Emea Stage 2,Sentinel,69,63,66
Smoggy,EDG,Valorant Masters Santiago 2026,Controller,66,66,66
FireBallOps,C9,Vct 2026 Americas Stage 2,Duelist,66,67,66
FireBallOps,C9,Vct 2026 Americas Stage 2,Controller,65,68,66
Leviathan,FS,Valorant Masters London 2026,Controller,70,63,66
Tonk,KBG,Vct 2026 China Stage 2,Sentinel,67,65,66
Meteor,T1,Vct 2026 Pacific Stage 1,Duelist,67,65,66
f4ngeer,AG,Vct 2026 China Stage 2,Sentinel,63,68,66
Krst1Ng,KBG,Vct 2026 China Stage 2,Controller,66,67,66
Okeanos,EG,Vct 2026 Americas Kickoff,Initiator,66,66,66
K1ra,AG,Valorant Masters Santiago 2026,Controller,69,64,66
CyvOph,NAVI,Vct 2026 Emea Stage 2,Duelist,67,65,66
f0rsakeN,PRX,Valorant Masters Santiago 2026,Duelist,64,69,66
Rossy,ENVY,Vct 2026 Americas Stage 2,Initiator,67,65,66
Meteor,T1,Valorant Masters Santiago 2026,Controller,64,68,66
ComeBack,NAVI,Vct 2026 Emea Stage 1,Duelist,67,65,66
kellyS,TS,Vct 2026 Pacific Stage 2,Initiator,69,63,66
Caedye,DFM,Vct 2026 Pacific Kickoff,Duelist,66,66,66
Neon,LEV,Vct 2026 Americas Stage 1,Duelist,65,67,66
Lar0k,BBL,Vct 2026 Emea Stage 1,Initiator,68,64,66
Flickless,GX,Vct 2026 Emea Stage 1,Initiator,66,66,66
Smoggy,EDG,Valorant Masters London 2026,Controller,63,69,66
Paincakes,EG,Vct 2026 Americas Stage 1,Initiator,67,64,66
Hermes,KRX,Vct 2026 Pacific Kickoff,Sentinel,65,67,66
kiNgg,LEV,Vct 2026 Americas Stage 1,Initiator,67,64,66
iZu,T1,Valorant Masters Santiago 2026,Sentinel,70,62,66
Rimuru,TS,Vct 2026 Pacific Stage 1,Duelist,63,68,66
Filu,NAVI,Vct 2026 Emea Stage 1,Duelist,64,67,66
Asuna,100T,Vct 2026 Americas Stage 1,Sentinel,66,65,66
monk,AT,Vct 2026 China Stage 2,Controller,67,64,66
whzy,BLG,Vct 2026 China Stage 2,Sentinel,70,61,66
t3xture,GEN,Vct 2026 Pacific Stage 2,Duelist,67,63,66
penny,C9,Vct 2026 Americas Stage 1,Duelist,64,67,66
Jinggg,PRX,Vct 2026 Pacific Kickoff,Controller,65,66,65
lukxo,LOUD,Vct 2026 Americas Kickoff,Controller,65,66,65
PxS,LEV,Vct 2026 Americas Kickoff,Sentinel,66,65,65
oonzmlp,VL,Vct 2026 Pacific Kickoff,Duelist,62,69,65
yetujey,FUT,Vct 2026 Emea Kickoff,Controller,65,66,65
MrFaliN,FUT,Vct 2026 Emea Kickoff,Initiator,67,64,65
nerve,FUR,Vct 2026 Americas Kickoff,Initiator,67,65,65
sociablEE,NAVI,Vct 2026 Emea Kickoff,Controller,66,65,65
Filu,NAVI,Vct 2026 Emea Stage 1,Controller,65,66,65
brawk,NRG,Valorant Masters Santiago 2026,Controller,67,64,65
GREEN,NOVA,Vct 2026 China Kickoff,Sentinel,65,65,65
Killua,FS,Valorant Masters London 2026,Initiator,66,65,65
Bai,AG,Vct 2026 China Stage 2,Duelist,67,64,65
Avez,KC,Vct 2026 Emea Kickoff,Duelist,64,67,65
Ethan,NRG,Valorant Masters London 2026,Controller,66,65,65
tex,MIBR,Vct 2026 Americas Stage 1,Controller,67,64,65
Boo,TH,Vct 2026 Emea Stage 1,Sentinel,66,64,65
K1ra,AG,Vct 2026 China Stage 1,Duelist,67,63,65
ZmjjKK,EDG,Vct 2026 China Kickoff,Sentinel,65,65,65
FT,BLG,Vct 2026 China Stage 2,Duelist,68,62,65
Abo,TEC,Vct 2026 China Kickoff,Duelist,67,63,65
Jinggg,PRX,Valorant Masters London 2026,Sentinel,64,66,65
Flickless,GX,Vct 2026 Emea Stage 2,Sentinel,64,67,65
CHICHOO,EDG,Valorant Masters London 2026,Sentinel,65,65,65
WsLeo,XLG,Valorant Masters Santiago 2026,Initiator,68,63,65
Spitfires,TEC,Vct 2026 China Stage 2,Sentinel,67,63,65
mta,KRÜ,Vct 2026 Americas Kickoff,Initiator,68,60,65
bao,EG,Vct 2026 Americas Stage 1,Controller,66,64,65
koalanoob,FUR,Vct 2026 Americas Kickoff,Sentinel,65,66,65
Favian,ULF,Vct 2026 Emea Kickoff,Duelist,67,61,65
Demon1,ENVY,Vct 2026 Americas Kickoff,Controller,63,68,65
seven,PCF,Vct 2026 Emea Kickoff,Sentinel,62,69,65
FengF,TE,Vct 2026 China Kickoff,Duelist,66,64,65
Zellsis,C9,Vct 2026 Americas Stage 2,Initiator,66,64,65
Rarga,XLG,Valorant Masters Santiago 2026,Duelist,65,65,65
jowa,WOL,Vct 2026 China Stage 1,Initiator,66,64,65
FKEY,TE,Vct 2026 China Stage 2,Sentinel,65,65,65
oonzmlp,VL,Vct 2026 Pacific Stage 2,Controller,66,63,65
PxS,LEV,Vct 2026 Americas Kickoff,Controller,65,65,65
ZynX,GEN,Vct 2026 Pacific Stage 1,Duelist,64,66,65
cb,NOVA,Vct 2026 China Stage 2,Initiator,65,65,65
slowly,TYL,Vct 2026 China Stage 1,Sentinel,68,61,65
Karon,GEN,Vct 2026 Pacific Stage 1,Controller,64,66,65
Darker,LOUD,Vct 2026 Americas Stage 1,Sentinel,66,63,65
rushia,BLG,Vct 2026 China Kickoff,Sentinel,63,67,65
RieNs,TH,Vct 2026 Emea Stage 2,Controller,67,64,65
iamgrq,AG,Vct 2026 China Kickoff,Duelist,68,62,65
kellyS,TS,Vct 2026 Pacific Stage 1,Sentinel,65,64,65
